UniqueID,components,Notes,question,answer_type,choice_0,choice_1,choice_2,choice_3,answer,qID
1,"136,16",needs integral/derivative components for later steps,"\(\displaystyle \text{Evaluate } \int x(3-x^2)^4 \, dx. \)",multi,\(\displaystyle (x/5)(3-x^2)^5 + C \),\(\displaystyle -(1/10)(3-x^2)^5 + C \),\(\displaystyle (1/5)(3-x^2)^5 + C \),\(\displaystyle -(1/5)(3-x^2)^5 + C \),1,q0111
2,"136,16",needs integral/derivative components for later steps,"\(\displaystyle \text{Evaluate } \int \cos^4 x \sin x \, dx. \)",multi,\(\displaystyle -\cos^5 x + C \),\(\displaystyle (1/5) \cos^5 x + C \),\(\displaystyle -(1/5) \cos^5 x + C \),\(\displaystyle (1/5) \cos^5 x \sin x + C \),2,q0112
3,"136,16",needs integral/derivative components for later steps,"\(\displaystyle \text{Evaluate the indefinite integral } \int \frac{x}{\sqrt{x+1}}\,dx. \)",multi,\(\displaystyle (2/3)(x+1)^{3/2} - 2(x+1)^{1/2} + C \),\(\displaystyle (2/3)(x+1)^{3/2} + C \),\(\displaystyle (2/3)(x+1)^{3/2} + (x+1)^{1/2} + C \),\(\displaystyle (x+1)^{3/2} - (x+1)^{1/2} + C \),1,q0113
4,"136,16",needs integral/derivative components for later steps,"\(\displaystyle \text{Evaluate the definite integral } \int_0^1 x(x^2 + 1)^4 \, dx. \)",multi,\(\displaystyle 8/5 \),\(\displaystyle 4/5 \),\(\displaystyle 31/10 \),\(\displaystyle 16/5 \),2,q0114
5,"136,16",needs integral/derivative components for later steps,"\(\displaystyle \text{Evaluate the definite integral } \int_1^3 \frac{6x}{3x^2 + 1} \, dx. \)",multi,\(\displaystyle -\ln 7 \),\(\displaystyle 2 \ln 7 \),\(\displaystyle (1/2) \ln 7 \),\(\displaystyle \ln 7 \),3,q0115
6,"136,16",needs integral/derivative components for later steps,"\(\displaystyle \text{Evaluate the indefinite integral } \int x(5x^2 + 6)^{1/2} \, dx. \)",multi,\(\displaystyle (2/3) (5x^2 + 6)^{3/2} + C \),\(\displaystyle (1/15) (5x^2 + 6)^{3/2} + C \),\(\displaystyle (1/10) (5x^2 + 6)^{3/2} + C \),\(\displaystyle (x/10)(5x^2 + 6)^{3/2} + C \),1,q0121
7,"136,16",needs integral/derivative components for later steps,"\(\displaystyle \text{Evaluate the indefinite integral } \int \frac{\sin x}{\sqrt{1 + \cos x}}\,dx. \)",multi,\(\displaystyle \sin x (1 + \cos x)^{1/2} + C \),\(\displaystyle (-1/2) (1 + \cos x)^{1/2} + C \),\(\displaystyle (1 + \cos x)^{1/2} + C \),\(\displaystyle -2(1 + \cos x)^{1/2} + C \),3,q0122
8,"136,16",needs integral/derivative components for later steps,"\(\displaystyle \text{Evaluate the indefinite integral } \int x^3 (x^2 + 1)^6 \, dx. \)",multi,\(\displaystyle x^{16}/16 + C \),\(\displaystyle \frac{(x^2 + 1)^8}{8} + C \),\(\displaystyle \frac{(x^2 + 1)^8}{16} - \frac{(x^2 + 1)^7}{14} + C \),\(\displaystyle \frac{(x^2 + 1)^8}{16} + \frac{(x^2 + 1)^7}{14} + C \),2,q0123
9,"136,16",needs integral/derivative components for later steps,"\(\displaystyle \text{Evaluate the definite integral } \int_0^1 \frac{x^3}{(x^4 + 1)^{1/2}}\,dx. \)",multi,\(\displaystyle (1/2)(2^{1/2} - 1) \),\(\displaystyle (1/2)(2^{1/2} + 1) \),\(\displaystyle 2^{1/2} - 1 \),\(\displaystyle 2^{3/2} + 1 \),0,q0124
10,"136,16",needs integral/derivative components for later steps,"\(\displaystyle \text{Evaluate the definite integral } \int_0^1 xe^{-x^2}\,dx. \)",multi,\(\displaystyle 1 + 1/e \),\(\displaystyle 1/(2e) \),\(\displaystyle (1/2)(1 - 1/e) \),\(\displaystyle 2e - 1 \),2,q0125
